State,City,Allocation,
California,Monterey,"$6,510,461.00",
California,Monterey Park,"$15,043,184.00",
California,Moreno Valley,"$48,481,233.00",
California,Mountain View,"$15,679,080.00",
California,Murrieta,"$16,463,101.00",
California,Napa City,"$15,118,910.00",
California,National City,"$18,010,907.00",
California,Newport Beach,"$10,141,272.00",
California,Norwalk,"$28,046,746.00",
California,Novato city,"$9,112,951.00",
California,Oakland,"$188,081,700.00",
California,Oceanside,"$32,346,514.00",
California,Ontario,"$45,609,291.00",
California,Orange,"$28,018,188.00",
California,Oxnard,"$59,540,662.00",
California,Palm Desert,"$9,983,052.00",
California,Palm Springs,"$10,820,822.00",
California,Palmdale,"$35,445,019.00",
California,Palo Alto,"$13,735,071.00",
California,Paradise,"$2,678,454.00",
California,Paramount City,"$18,895,185.00",
California,Pasadena,"$52,625,975.00",
California,Perris City,"$22,171,505.00",
California,Petaluma,"$8,303,531.00",
California,Pico Rivera,"$14,772,455.00",
California,Pittsburg,"$16,290,477.00",
California,Placentia city,"$9,083,054.00",
California,Pleasanton City,"$8,595,930.00",
California,Pomona,"$45,366,413.00",
California,Porterville,"$19,984,717.00",
California,Poway city,"$6,079,158.00",
California,Rancho Cordova City,"$15,588,333.00",
California,Rancho Cucamonga,"$26,835,530.00",
California,Rancho Santa Margarita,"$4,720,888.00",
California,Redding,"$18,693,433.00",
California,Redlands city,"$11,508,106.00",
California,Redondo Beach,"$6,801,080.00",
California,Redwood City,"$18,483,063.00",
California,Rialto,"$29,373,105.00",
California,Richmond city,"$27,740,723.00",
California,Riverside,"$73,535,189.00",
California,Rocklin City,"$7,039,025.00",
California,Rosemead,"$17,878,653.00",
California,Roseville,"$17,644,859.00",
California,Sacramento,"$112,313,331.00",
California,Salinas,"$51,567,313.00",
California,San Bernardino,"$77,656,407.00",
California,San Buenaventura,"$16,321,147.00",
California,San Clemente,"$7,491,798.00",
California,San Diego,"$299,714,755.00",
California,San Francisco,"$453,586,783.00",
California,San Jose,"$212,280,152.00",
California,San Leandro,"$18,639,484.00",
California,San Luis Obispo city,"$13,564,467.00",
California,San Marcos City,"$18,279,146.00",
California,San Mateo,"$19,274,312.00",
California,San Rafael city,"$16,088,886.00",
California,San Ramon city,"$8,115,425.00",
California,Santa Ana,"$128,360,813.00",
California,Santa Barbara,"$21,837,523.00",
California,Santa Clara,"$26,231,326.00",
California,Santa Clarita,"$35,148,685.00",
California,Santa Cruz,"$14,170,321.00",
California,Santa Maria,"$37,190,243.00",
California,Santa Monica,"$28,570,125.00",
California,Santa Rosa,"$34,637,465.00",
California,Santee,"$7,325,525.00",
California,Seaside,"$8,994,311.00",
California,Simi Valley,"$15,325,294.00",
California,South Gate,"$34,556,473.00",
California,South San Francisco,"$12,278,941.00",
California,Stockton,"$78,052,072.00",
California,Sunnyvale,"$28,154,030.00",
California,Temecula,"$14,079,507.00",
California,Thousand Oaks,"$14,008,949.00",
California,Torrance,"$24,074,277.00",
California,Tracy city,"$14,798,549.00",
California,Tulare,"$18,024,068.00",
California,Turlock,"$15,753,190.00",
California,Tustin,"$19,380,784.00",
California,Union City,"$14,099,826.00",
California,Upland,"$15,213,716.00",
California,Vacaville,"$12,675,830.00",
California,Vallejo,"$25,727,736.00",
California,Victorville,"$33,500,666.00",
California,Visalia,"$29,364,455.00",
California,Vista,"$26,178,395.00",
California,Walnut Creek,"$8,327,653.00",
California,Watsonville,"$18,265,428.00",
California,West Covina,"$19,566,027.00",
California,West Sacramento,"$11,773,300.00",
California,Westminster,"$23,690,019.00",
California,Whittier,"$16,360,631.00",
California,Woodland,"$11,114,656.00",
California,Yorba Linda city,"$6,205,112.00",
California,Yuba City,"$15,615,517.00",
California,Yucaipa city,"$8,017,860.00",
Colorado,Arvada,"$11,075,818.00",
Colorado,Aurora,"$65,424,806.00",
Colorado,Boulder,"$20,153,269.00",
Colorado,Broomfield City/County,"$7,040,034.00",
Colorado,Castle Rock,"$5,703,100.00",
Colorado,Centennial,"$8,489,546.00",
Colorado,Colorado Springs,"$76,039,132.00",
Colorado,Commerce City,"$10,505,025.00",
Colorado,Denver,"$166,796,658.00",
Colorado,Fort Collins,"$28,118,971.00",
Colorado,Grand Junction,"$10,484,608.00",
Colorado,Greeley,"$20,991,595.00",
Colorado,Lakewood,"$21,581,066.00",
Colorado,Longmont,"$12,973,267.00",
Colorado,Loveland,"$9,504,879.00",
Colorado,Parker town,"$4,452,437.00",
Colorado,Pueblo,"$36,407,001.00",
Colorado,Thornton,"$21,001,371.00",
Colorado,Westminster,"$14,548,323.00",
Connecticut,Bridgeport,"$82,662,800.00",
Connecticut,Bristol,"$16,187,924.00",
Connecticut,Danbury,"$15,647,339.00",
Connecticut,East Hartford,"$14,874,017.00",
Connecticut,Fairfield,"$12,779,052.00",
Connecticut,Greenwich,"$19,193,184.00",
Connecticut,Hamden Town,"$12,378,044.00",
Connecticut,Hartford,"$88,500,760.00",
Connecticut,Manchester,"$13,800,202.00",
Connecticut,Meriden,"$24,822,973.00",
Connecticut,Middletown,"$12,746,480.00",
Connecticut,Milford Town,"$13,295,776.00",
Connecticut,New Britain,"$42,050,789.00",
Connecticut,New Haven,"$90,507,624.00",
Connecticut,New London,"$21,007,012.00",
Connecticut,Norwalk,"$21,998,212.00",
Connecticut,Norwich,"$21,308,499.00",
Connecticut,Stamford,"$23,876,021.00",
Connecticut,Stratford,"$15,857,419.00",
Connecticut,Waterbury,"$54,494,215.00",
Connecticut,West Hartford,"$25,004,570.00",
Connecticut,West Haven,"$18,399,281.00",
Delaware,Dover,"$8,619,257.00",
Delaware,Wilmington,"$55,345,780.00",
District of Columbia,District Of Columbia,"$372,859,344.00",
Florida,Apopka city,"$7,037,307.00",
Florida,Avon Park city,"$3,677,040.00",
Florida,Boca Raton,"$12,199,643.00",
Florida,Bonita Springs city,"$7,241,423.00",
Florida,Boynton Beach,"$13,647,904.00",
Florida,Bradenton,"$10,791,837.00",
Florida,Cape Coral,"$25,439,699.00",
Florida,Clearwater,"$22,483,893.00",
Florida,Cocoa,"$3,881,979.00",
Florida,Coconut Creek,"$8,597,464.00",
Florida,Coral Gables city,"$8,518,456.00",
Florida,Coral Springs,"$20,013,374.00",
Florida,Crestview,"$3,872,170.00",
Florida,Davie,"$17,934,700.00",
Florida,Daytona Beach,"$15,010,544.00",
Florida,DeLand city,"$5,883,695.00",
Florida,Deerfield Beach,"$16,284,885.00",
Florida,Delray Beach,"$10,956,323.00",
Florida,Deltona,"$13,972,193.00",
Florida,Destin city,"$1,581,098.00",
Florida,Doral City,"$12,878,947.00",
Florida,Fort Pierce,"$13,502,665.00",
Florida,Fort Walton Beach,"$3,651,981.00",
Florida,Ft Lauderdale,"$38,133,766.00",
Florida,Ft Myers,"$15,759,486.00",
Florida,Gainesville,"$32,408,804.00",
Florida,Hialeah,"$66,834,253.00",
Florida,Hollywood,"$29,390,502.00",
Florida,Homestead City,"$19,192,087.00",
Florida,Jacksonville city,"$157,663,110.00",
Florida,Jupiter,"$7,590,958.00",
Florida,Kissimmee,"$18,069,843.00",
Florida,Lakeland,"$22,726,368.00",
Florida,Largo,"$12,960,041.00",
Florida,Lauderhill,"$18,132,223.00",
Florida,Marco Island City,"$1,746,191.00",
Florida,Margate,"$10,849,938.00",
Florida,Melbourne,"$14,263,027.00",
Florida,Miami,"$137,639,417.00",
Florida,Miami Beach,"$23,555,418.00",
Florida,Miami Gardens City,"$27,114,344.00",
Florida,Miramar,"$22,053,169.00",
Florida,Naples,"$2,563,890.00",
Florida,North Miami,"$19,354,517.00",
Florida,North Port city,"$8,427,359.00",
Florida,Ocala,"$12,202,159.00",
Florida,Orlando,"$58,032,405.00",
Florida,Ormond Beach city,"$4,934,862.00",
Florida,Palm Bay,"$18,009,865.00",
Florida,Palm Beach Gardens,"$5,857,791.00",
Florida,Palm Coast,"$12,501,879.00",
